timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1660644512608,484,Open google.com,301,Moved Permanently,Example Thread Group 1-1,text,true,,547,106,1,1,http://google.com/,483,0,187
1660644513102,588,Open example.com,200,OK,Example Thread Group 1-1,text,true,,1610,107,1,1,http://example.com/,588,0,279
